gene,h_statistic,p_value,p_adjusted,significant
FOXC1,46.66027881297447,4.104764264058446e-10,1.4669830094937096e-08,True
PPP1R14C,45.115831148031965,8.742811633262278e-10,2.1857029083155694e-08,True
GABRP,45.10206763285029,8.801898056962257e-10,1.4669830094937096e-08,True
TBC1D9,43.982007905138346,1.5225222044283825e-09,1.4669830094937096e-08,True
ESR1,42.72427279001192,2.816109240109538e-09,2.1857029083155694e-08,True
DSG1,42.702833927918675,2.8457757437376534e-09,2.1857029083155694e-08,True
BCL11A,42.079105088148594,3.860002696544426e-09,1.4669830094937096e-08,True
CENPA,41.95360461760467,4.104119061200004e-09,2.1857029083155694e-08,True
CEP55,41.63133596837946,4.803968344381775e-09,2.1857029083155694e-08,True
ROPN1,40.98957068656297,6.572593408399654e-09,2.1857029083155694e-08,True
IL34,40.91648058221972,6.811428474957036e-09,2.1857029083155694e-08,True
AURKB,40.354273166447115,8.963004076326629e-09,1.4669830094937096e-08,True
MLPH,39.611926469665605,1.2876811308747142e-08,1.4669830094937096e-08,True
ZNF552,39.250227994228,1.5362162316145523e-08,1.4669830094937096e-08,True
SKA1,38.96441432963172,1.7660562001710895e-08,5.886854000570298e-08,True
TPX2,38.87384252462513,1.845825992612133e-08,2.1857029083155694e-08,True
TRIM29,38.16077796599535,2.6133929648032702e-08,7.686449896480206e-08,True
INPP4B,37.88200363887324,2.9938183762177506e-08,2.1857029083155694e-08,True
RGMA,37.39283869753439,3.7998217718160656e-08,2.1857029083155694e-08,True
GPR77,37.29118915866741,3.9927710937327876e-08,2.1857029083155694e-08,True
LEMD1,36.51855135312462,5.817449674097657e-08,2.1857029083155694e-08,True
ERGIC1,36.35689466089465,6.293924533095439e-08,2.1857029083155694e-08,True
PSAT1,36.28579810527634,6.515632363496558e-08,1.4669830094937096e-08,True
C9orf152,36.09438584603802,7.152065066860713e-08,2.1857029083155694e-08,True
SIDT1,36.086385344124494,7.179977370236367e-08,1.4669830094937096e-08,True
ROPN1B,36.030077558556805,7.379526017611628e-08,2.1857029083155694e-08,True
CHODL,35.97490080933562,7.580437262031487e-08,2.1857029083155694e-08,True
FOXA1,35.589784553610684,9.143340392389269e-08,2.1857029083155694e-08,True
LOC100127888,35.46177473118818,9.731059802946128e-08,2.1857029083155694e-08,True
LOC145837,35.34925905012861,1.0278708767369654e-07,1.4669830094937096e-08,True
GPR160,35.27638722630027,1.0649710940180109e-07,2.1857029083155694e-08,True
MAGED2,34.714733923081724,1.3995811252305923e-07,2.1857029083155694e-08,True
TSPAN15,34.18423740510701,1.8114611226000162e-07,1.4669830094937096e-08,True
SLC2A10,34.152833678398906,1.8393290977106447e-07,2.1857029083155694e-08,True
B3GNT5,34.128009034443835,1.8616613153865244e-07,2.1857029083155694e-08,True
C17orf28,33.47889428445956,2.552180914550621e-07,1.4669830094937096e-08,True
TBX19,33.44245536106405,2.597769422109832e-07,2.1857029083155694e-08,True
RNF103,33.42509718301022,2.619771106420517e-07,2.1857029083155694e-08,True
TMBIM6,33.146191905536455,2.9999078063040607e-07,2.1857029083155694e-08,True
AGR3,32.73264997239272,3.667189105722349e-07,2.1857029083155694e-08,True
L3MBTL4,32.25782144425625,4.617929041317113e-07,2.1857029083155694e-08,True
POU5F1,31.634348941636354,6.249392588740646e-07,2.1857029083155694e-08,True
TFF3,31.583926218708797,6.404137519863476e-07,5.886854000570298e-08,True
SLC44A4,31.094245310245327,8.120797777484731e-07,9.228179292596284e-07,True
RND1,30.997384026601424,8.511268505940841e-07,1.4669830094937096e-08,True
AGR2,30.723156032373424,9.721356554009768e-07,1.4669830094937096e-08,True
EN1,27.99676416337286,3.6377210524880918e-06,2.1857029083155694e-08,True
SPDEF,26.888809586548717,6.211964353349589e-06,1.4669830094937096e-08,True
CHST2,26.67052136269527,6.902063705779477e-06,2.1857029083155694e-08,True
DLX6AS,26.259381945417953,8.41614462134459e-06,1.4669830094937096e-08,True
